Name,SKU,Stock,Retail Price,Discounted Price,image_url,Website Link,image_id,image_filename,image_exists
Semi-Crape Printed Saree - Black & Yellow Colour - QW201127,QW201127,0,1895,1730,https://byrappasilk.in/storage/uploads/2QDf4J8KjUIfb6euZZEZBIDTdyjJlm9rjQRSdCM7.webp,https://byrappasilks.in/shop/semi_crape_printed_saree_black_yellow_colour_qw201127_1750073692,53,000053.webp,True
Ajrakh Printed Sarees - Red Colour - QS215526,QS215526,3,1395,995,https://byrappasilk.in/storage/uploads/lpiFPx73XqglBoJpsfBRy4dUprd3SOEkNWW5YEKu.webp,https://byrappasilks.in/shop/ajrakh_printed_sarees_red_colour_qs215526_1767693997,54,000054.webp,True
Designer Fancy Saree with Blouse - QS217208,QS217208,0,7800,4095,https://byrappasilk.in/storage/uploads/9g2dABuxruUaoZICZQvSVGvAUY4fQ60pcSGZJxI2.webp,https://byrappasilks.in/shop/designer_fancy_saree_with_blouse_qs217208_1750318230,55,000055.webp,True
Designer Fancy Saree with Blouse - QS217214,QS217214,0,11800,6195,https://byrappasilk.in/storage/uploads/DyOIDhn7myeu1eZz9HxoM1a078KuFLPgFDwsIRNa.webp,https://byrappasilks.in/shop/designer_fancy_saree_with_blouse_qs217214_1750322434,56,000056.webp,True
Designer Fancy Saree with Blouse - QS217213,QS217213,0,8600,4515,https://byrappasilk.in/storage/uploads/4IzZXdyZQApV0Ch1CFEczfEfDa8HnqrWp4FyXwht.webp,https://byrappasilks.in/shop/designer_fancy_saree_with_blouse_qs217213_1750322533,57,000057.webp,True
Designer Fancy Saree with Blouse - QS217215,QS217215,-1,7300,3830,https://byrappasilk.in/storage/uploads/57n4ZWfhdes9k9p1GZCLDkSRazJRAp2wTfgqEFRT.webp,https://byrappasilks.in/shop/designer_fancy_saree_with_blouse_qs217215_1750323263,58,000058.webp,True
Designer Fancy Saree with Blouse - QS217209,QS217209,0,7800,4095,https://byrappasilk.in/storage/uploads/EFM8MnzYj7YNn1DsXrtEFJ8FE38AmOZZytFIG3Ft.webp,https://byrappasilks.in/shop/designer_fancy_saree_with_blouse_qs217209_1750325275,59,000059.webp,True
Designer Fancy Saree with Blouse - QS217211,QS217211,0,7300,3830,https://byrappasilk.in/storage/uploads/ISEdnDJbO4KaK4c0FwI1YYRWBOzoFBVhXAGyjiG8.webp,https://byrappasilks.in/shop/designer_fancy_saree_with_blouse_qs217211_1750336368,60,000060.webp,True
Designer Fancy Saree with Blouse - QS217206,QS217206,0,7800,4065,https://byrappasilk.in/storage/uploads/8abvg1jy0PtHr57SbqCE8kLFs49p1TxQeJ3WwJEb.webp,https://byrappasilks.in/shop/designer_fancy_saree_with_blouse_qs217206_1750340144,61,000061.webp,True
Designer Fancy Saree with Blouse - QS217205,QS217205,0,7300,3830,https://byrappasilk.in/storage/uploads/uH1RguI2QyHYDPsFnosnHnbLN8GrXM5VNqVfG8I9.webp,https://byrappasilks.in/shop/designer_fancy_saree_with_blouse_qs217205_1750340307,62,000062.webp,True
